Classifier,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,RAMOBoost,RAMOBoost,RAMOBoost,RAMOBoost,RAMOBoost,RAMOBoost,RAMOBoost,CUSBoost,CUSBoost,CUSBoost,CUSBoost,CUSBoost,CUSBoost,CUSBoost
Score,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.
0,0.6617886178861788,0.659721212955668,0.4045203404578863,0.6630883567299752,0.4439461883408072,0.6488609583660644,0.8342391304347826,0.639349593495935,0.6466143462884912,0.29815628862234056,0.7786952931461602,0.6233183856502242,0.5066771406127258,0.6494565217391305,0.6396747967479675,0.6464792108087986,0.21311735689004807,0.772914946325351,0.6098654708520179,0.5341712490180676,0.5842391304347826,0.49691056910569104,0.5230552602122902,0.5605909606300403,0.9488026424442609,0.7085201793721974,0.06284367635506677,0.38315217391304346,0.6410923276983095,0.6447200375849945,0.36705091697056186,0.7424,0.5196078431372549,0.5471698113207547,0.6914285714285714
1,0.6588617886178861,0.6552134181843836,0.5178776119239146,0.6454545454545455,0.3632286995515695,0.650767987065481,0.8864197530864197,0.6673170731707317,0.6671720528723928,0.39905883830082917,0.6950413223140496,0.5022421524663677,0.618431689571544,0.8246913580246914,0.6442276422764228,0.6506150057841398,0.2074040489788539,0.7628099173553718,0.6457399103139013,0.534357316087308,0.6246913580246913,0.4897560975609756,0.5174769420642537,0.20509290386557244,0.9421487603305785,0.8340807174887892,0.0856911883589329,0.18271604938271604,0.6547464239271782,0.6572396060359873,0.3368579250568152,0.7328,0.5196078431372549,0.5849056603773585,0.7085714285714285
2,0.6539837398373983,0.6501654772194727,0.5296322561690173,0.6405990016638935,0.34913793103448276,0.6507177033492823,0.8888888888888888,0.6455284552845528,0.6472135319059966,0.3375347668273687,0.6988352745424293,0.5344827586206896,0.5813397129186603,0.7545219638242894,0.6413008130081301,0.6478267410166778,0.24206003094082187,0.7687188019966722,0.6206896551724138,0.5287081339712919,0.6227390180878553,0.510569105691057,0.5362041973589938,0.42478205463034,0.9425956738768719,0.7844827586206896,0.09250398724082935,0.35917312661498707,0.6384915474642393,0.6433224728076974,0.5280030230960309,0.7712,0.49019607843137253,0.5015723270440252,0.7485714285714286
3,0.6640650406504065,0.6590640573297079,0.406561929436366,0.6218211648892535,0.37850467289719625,0.6942675159235668,0.8575129533678757,0.6689430894308943,0.6713148739516512,0.44128888903176666,0.7415914684167351,0.5046728971962616,0.5883757961783439,0.7927461139896373,0.6426016260162601,0.6492701189042349,0.17978211496807023,0.7670221493027072,0.6355140186915887,0.5398089171974523,0.5880829015544041,0.5076422764227643,0.5344468687871496,0.3115684170403485,0.9450369155045119,0.8364485981308412,0.09235668789808917,0.29533678756476683,0.6391417425227568,0.6425142936616028,0.3153558902806406,0.7328,0.5294117647058824,0.5566037735849056,0.6685714285714286
4,0.6653658536585366,0.6625010517619881,0.5775454648886891,0.6721717588769612,0.336322869955157,0.6477635782747604,0.8894601542416453,0.6624390243902439,0.662837615598204,0.3281945549811013,0.6985962014863749,0.5067264573991032,0.6246006389776357,0.7609254498714653,0.6539837398373983,0.6583462731929455,0.25205217571525423,0.7481420313790256,0.5874439461883408,0.5718849840255591,0.6632390745501285,0.5014634146341463,0.528112641796639,0.46817570136814135,0.9545829892650702,0.757847533632287,0.06789137380191693,0.3393316195372751,0.6423927178153446,0.6463092586970423,0.13773895671476138,0.7328,0.6274509803921569,0.5676100628930818,0.6
5,0.6647154471544715,0.6617160068100703,0.3894619452121819,0.6512396694214876,0.4349775784753363,0.665341812400636,0.8385416666666666,0.6682926829268293,0.6694179225885747,0.4680207579286363,0.724793388429752,0.47533632286995514,0.6017488076311606,0.8203125,0.640650406504065,0.6475319020172665,0.15445361179636133,0.7652892561983471,0.6591928251121076,0.5349761526232114,0.5833333333333334,0.5125203252032521,0.5387035876966544,0.37686717747769943,0.947107438016529,0.7982062780269058,0.10015898251192369,0.328125,0.6456436931079323,0.6502466939282255,0.2823097510702395,0.7568,0.5980392156862745,0.539308176100629,0.6628571428571428
6,0.6595121951219513,0.6538058485615721,0.26719473439872843,0.5930232558139535,0.4434782608695652,0.7091795288383428,0.8268292682926829,0.6442276422764228,0.6442794346747442,0.5075767602422219,0.6935215946843853,0.391304347826087,0.5922014622258327,0.7975609756097561,0.6302439024390244,0.6246242341260431,0.24845952843125743,0.563953488372093,0.4217391304347826,0.6815597075548334,0.7878048780487805,0.5203252032520326,0.5445532752505743,0.2845797432902555,0.9285714285714286,0.7782608695652173,0.1510966693744923,0.28536585365853656,0.6560468140442133,0.6589712973437789,0.17724883462819097,0.7312,0.5980392156862745,0.5959119496855346,0.64
7,0.6559349593495934,0.6540716774345449,0.6577707893164717,0.6828266228430567,0.3101851851851852,0.6184519155590305,0.9035812672176309,0.6637398373983739,0.6660430618796711,0.41485855205989125,0.7296631059983566,0.5324074074074074,0.5840500390930414,0.8016528925619835,0.6413008130081301,0.6479632687997294,0.1518872003694343,0.7633525061626951,0.6481481481481481,0.5418295543393276,0.5785123966942148,0.4930081300813008,0.5202111274780216,0.48713503497790767,0.9515201314708299,0.7453703703703703,0.05785770132916341,0.33884297520661155,0.6345903771131339,0.6381273988843227,0.16415766608530208,0.7232,0.5784313725490197,0.5691823899371069,0.5885714285714285
8,0.6491056910569105,0.6449793344705111,0.46660887011214025,0.6286186931348222,0.3422222222222222,0.661251015434606,0.8414634146341463,0.6611382113821138,0.660827156622021,0.3550627885429537,0.6873449131513648,0.4888888888888889,0.6263200649878148,0.7829268292682927,0.640650406504065,0.640268078194998,0.1405746794886134,0.6509511993382961,0.5466666666666666,0.6368805848903331,0.6731707317073171,0.5108943089430894,0.5365088896198104,0.3254785740218512,0.9379652605459057,0.8044444444444444,0.10804224207961008,0.3,0.6482444733420026,0.6507894375310593,0.45837370117858467,0.7328,0.4803921568627451,0.559748427672956,0.7657142857142857
9,0.6595121951219513,0.6553339033891404,0.5193689500869403,0.6386138613861386,0.34841628959276016,0.6661454261141517,0.8953168044077136,0.6673170731707317,0.6698367521098723,0.5013130463043618,0.7458745874587459,0.49321266968325794,0.5777951524628616,0.8264462809917356,0.6455284552845528,0.6521439141584353,0.2028477797132435,0.768976897689769,0.6425339366515838,0.5379202501954652,0.6143250688705234,0.505040650406504,0.5314778753464746,0.46802556123707845,0.9488448844884488,0.7647058823529411,0.0797498045347928,0.36363636363636365,0.6605981794538361,0.6630020166316992,0.20044221764177372,0.7232,0.6078431372549019,0.60062893081761,0.6857142857142857
