Multiprocess type:  no
         4667601 function calls (4482113 primitive calls) in 3655.651 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    171/1    0.002    0.000 3655.652 3655.652 {built-in method builtins.exec}
        1    1.126    1.126 3655.651 3655.651 mark_label.py:1(<module>)
       89  865.592    9.726 3605.557   40.512 no_multi.py:11(get_IOU)
       45    0.033    0.001 2248.837   49.974 mark_label.py:34(remove_duplicates)
   266834 1390.288    0.005 1902.897    0.007 no_multi.py:5(calculate_iou)
   535756  840.959    0.002  840.959    0.002 {method 'astype' of 'numpy.ndarray' objects}
   537844    2.412    0.000  517.945    0.001 {method 'sum' of 'numpy.ndarray' objects}
   542243  517.044    0.001  517.044    0.001 {method 'reduce' of 'numpy.ufunc' objects}
   537844    0.727    0.000  515.532    0.001 _methods.py:47(_sum)
       44    9.865    0.224   28.594    0.650 mark_label.py:75(make_frame_consistent)
       45    0.000    0.000   11.379    0.253 mark_label.py:14(load_masks)
       45    0.022    0.000   11.377    0.253 mark_label.py:17(<listcomp>)
     2726    0.053    0.000   11.316    0.004 npyio.py:263(load)
     3856    0.017    0.000    9.464    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
       45    0.027    0.001    8.587    0.191 mark_label.py:101(save_masks)
     2136    0.004    0.000    8.470    0.004 <__array_function__ internals>:177(save)
     2136    0.223    0.000    8.453    0.004 npyio.py:451(save)
     2136    0.018    0.000    7.551    0.004 format.py:658(write_array)
     2136    7.436    0.003    7.441    0.003 {method 'tofile' of 'numpy.ndarray' objects}
     2726    0.036    0.000    7.341    0.003 format.py:730(read_array)
      162    7.278    0.045    7.278    0.045 {built-in method numpy.array}
     2726    6.382    0.002    6.388    0.002 {built-in method numpy.fromfile}
     4865    3.415    0.001    3.416    0.001 {built-in method io.open}
       44    0.001    0.000    1.215    0.028 {method 'max' of 'numpy.ndarray' objects}
       44    0.000    0.000    1.215    0.028 _methods.py:39(_amax)
    11057    1.068    0.000    1.068    0.000 {method 'read' of '_io.BufferedReader' objects}
     1629    0.005    0.000    1.002    0.001 <__array_function__ internals>:177(amax)
     1629    0.008    0.000    0.992    0.001 fromnumeric.py:2703(amax)
     1629    0.012    0.000    0.984    0.001 fromnumeric.py:69(_wrapreduction)
     2726    0.039    0.000    0.837    0.000 format.py:593(_read_array_header)
     2726    0.068    0.000    0.617    0.000 format.py:558(_filter_header)
    57246    0.156    0.000    0.423    0.000 tokenize.py:429(_tokenize)
       14    0.000    0.000    0.188    0.013 __init__.py:1(<module>)
     2726    0.007    0.000    0.147    0.000 utils.py:1032(safe_eval)
     2726    0.010    0.000    0.140    0.000 ast.py:51(literal_eval)
        2    0.019    0.009    0.137    0.069 __init__.py:120(dump)
